Temperature,Pressure,Density,Speed,Conductivity,Enthalpy,Entropy,Viscosity,InternalE,Cp,Cv,CpMCv,
100,50000,0.12123669877669017,825.6878093592503,0.06413043885671262,1993209.7838602595,41971.286611262905,4.117640275007588e-06,1580793.407428804,10472.257163411134,6334.661282264533,4137.595881146601,
101,50000,0.1200343944677465,829.5574372719063,0.06462197483186494,2003686.6955148627,42075.535271174616,4.147877574074127e-06,1587139.4198635502,10481.634804934858,6344.338848806503,4137.295956128355,
102,50000,0.1188557441143261,833.394379388957,0.06511454359301107,2014173.1912548635,42178.851256656,4.177998664531931e-06,1593495.1636796822,10491.425784536304,6354.419984442966,4137.005800093339,
103,50000,0.11770005515048779,837.1988285279228,0.0656082828741945,2024669.6856888076,42281.25681170877,4.208005285573064e-06,1599861.048716913,10501.632562569535,6364.907568722941,4136.724993846595,
104,50000,0.11656666184088764,840.9709881101888,0.066103327846191,2035176.595643619,42382.77355699876,4.237899135549992e-06,1606237.487236746,10512.257115264214,6375.803974952024,4136.45314031219,
105,50000,0.11545492399112701,844.7110725611163,0.0665998109828944,2045694.3396802195,42483.4225090811,4.267681873262335e-06,1612624.8934274227,10523.30093446766,6387.111071304986,4136.189863162674,
106,50000,0.11436422573194777,848.4193076266965,0.0670978619227229,2056223.3376096552,42583.22409871917,4.29735511919283e-06,1619023.68291004,10534.765028922664,6398.83022337755,4135.934805545114,
107,50000,0.11329397437237675,852.0959306092133,0.06759760732550954,2066764.0100112401,42682.19818836231,4.326920456694867e-06,1625434.272247291,10546.649926993223,6410.962298097001,4135.687628896222,
108,50000,0.11224359931728974,855.7411905246972,0.06809917072545105,2077316.7777541138,42780.36408884237,4.356379433133975e-06,1631857.0784561872,10558.955680749723,6423.507668910154,4135.448011839569,
109,50000,0.11121255104520344,859.3553481852309,0.06860267238080117,2087882.0615235162,42877.74057534418,4.385733560985278e-06,1638292.518526035,10571.681871325109,6436.466222166501,4135.215649158607,
110,50000,0.11020030014241256,862.9386762094175,0.06910822912108167,2098460.2813530336,42974.345902701374,4.414984318889121e-06,1644741.0089428676,10584.82761545399,6449.8373646143145,4134.990250839676,
111,50000,0.10920633638987447,866.4914589645427,0.06961595419267505,2109051.8561639213,43070.19782006411,4.444133152666623e-06,1651202.9652214223,10598.391573107549,6463.620031927883,4134.771541179665,
112,50000,0.10823016789950328,870.0139924441565,0.07012595710373648,2119657.203312589,43165.3135849821,4.4731814762971366e-06,1657678.801445699,10612.37195613828,6477.812698184813,4134.559257953468,
113,50000,0.10727132029677615,873.506584084956,0.0706383434694163,2130276.7381471894,43259.709976942715,4.502130672859217e-06,1664168.9298190349,10626.766537850357,6492.413386213592,4134.353151636765,
114,50000,0.10632933594677418,876.96955252698,0.07115321485844293,2140910.873574212,43353.40331040083,4.530982095436812e-06,1670673.760224547,10641.572663413172,6507.419678733136,4134.152984680036,
115,50000,0.1054037732209835,880.4032273212244,0.07167066864214106,2151560.0196358766,43446.409447333914,4.559737067992172e-06,1677193.699796729,10656.787261037782,6522.828730207775,4133.958530830007,
116,50000,0.10449420580236932,883.8079485888554,0.07219079784698634,2162224.5830990486,43538.74380935335,4.588396886206999e-06,1683729.152504901,10672.406853838454,6538.63727934337,4133.769574495084,
117,50000,0.10360022202640767,887.1840666362336,0.0727136910118048,2172904.967056333,43630.42138940062,4.616962818293163e-06,1690280.518749134,10688.427572303948,6554.84166215237,4133.585910151578,
118,50000,0.10272142425591865,890.531941529975,0.07323943205071548,2183601.57053991,43721.45676305396,4.6454361057743605e-06,1696848.194969209,10704.84516730599,6571.437825518188,4133.407341787802,
119,50000,0.10185742828769186,893.8519426362559,0.07376810012289986,2194314.7881486192,43811.864099469894,4.673817964239938e-06,1703432.5732670918,10721.65502357517,6588.421341191851,4133.233682383318,
120,50000,0.10100786278903044,897.1444481285281,0.07429976951024639,2205045.0096887313,43901.65717198146,4.7021095840720845e-06,1710034.041043341,10738.852173577454,6605.787420156583,4133.064753420871,
121,50000,0.10017236876246513,900.4098444677434,0.07483450950387387,2215792.6198287564,43990.84936837312,4.730312131147515e-06,1716652.9806477984,10756.431311727478,6623.530927298812,4132.900384428666,
122,50000,0.09935059903700619,903.6485258590989,0.07537238430048321,2226557.9977686224,44079.45370085115,4.7584267475147154e-06,1723289.7690448605,10774.386808877913,6641.646396326967,4132.740412550946,
123,50000,0.09854221778440797,906.860893689213,0.07591345290941931,2237341.5169234485,44167.48281572603,4.786454552047795e-06,1729944.7774935572,10792.712727027163,6660.128044882332,4132.584682144831,
124,50000,0.09774690005902113,910.0473559475021,0.07645776907124759,2248143.5446221186,44254.949002823,4.814396641077882e-06,1736618.3712426238,10811.402834190829,6678.969789789153,4132.433044401676,
125,50000,0.09696433135989897,913.2083266354041,0.07700538118857027,2258964.4418207766,44341.86420463419,4.842254089003019e-06,1743310.9092406793,10830.450619385396,6698.165262394159,4132.285356991237,
126,50000,0.09619420721391021,916.3442251669267,0.07755633226970853,2269804.5628313553,44428.24002522604,4.870027948877402e-06,1750022.7438616082,10849.849307675722,6717.70782394857,4132.141483727152,
127,50000,0.0954362327786905,919.4554757638329,0.07811065988578719,2280664.2550651543,44514.08773891367,4.897719252980857e-06,1756754.2206451513,10869.591875240745,6737.590580988519,4132.001294252226,
128,50000,0.09469012246433763,922.5425068486074,0.07866839614165035,2291543.8587914747,44599.418298713084,4.925329013369284e-06,1763505.6780527157,10889.671064415032,6757.806400672751,4131.864663742281,
129,50000,0.093955599572825,925.6057504381502,0.07922956766093794,2302443.706911279,44684.242344581384,4.95285822240688e-06,1770277.4472383342,10910.079398666505,6778.347926039203,4131.731472627302,
130,50000,0.0932323959541713,928.6456415409625,0.07979419558553864,2313364.1247457652,44768.57021145409,4.980307853280844e-06,1777069.851834695,10930.809197473565,6799.207591144827,4131.601606328738,
131,50000,0.09252025167846334,931.6626175603867,0.08036229558953728,2324305.429839764,44852.411937088014,5.00767886049926e-06,1783883.2077541081,10951.852591067638,6820.3776360556985,4131.4749550119395,
132,50000,0.09181891472288484,934.6571177062756,0.08093387790765744,2335267.931779799,44935.777269717466,5.034972180372821e-06,1790717.8230042544,10973.201535009775,6841.850121657072,4131.351413352703,
133,50000,0.09112814067295494,937.6295824172525,0.08150894737810759,2346251.932026616,45018.6756755308,5.062188731481011e-06,1797573.9975185283,10994.847824572558,6863.616944255489,4131.230880317069,
134,50000,0.09044769243722875,940.5804527955397,0.08208750349962664,2357257.723762003,45101.11634597378,5.089329415123355e-06,1804452.0230007626,11016.783108901083,6885.66984994758,4131.113258953504,
135,50000,0.08977733997475586,943.510170056129,0.08266954050243619,2368285.5917496374,45183.10820488604,5.1163951157563225e-06,1811352.1827840924,11038.998904929094,6908.0004487324595,4130.998456196635,
136,50000,0.08911686003463594,946.4191749918805,0.08325504743271235,2379335.8122097217,45264.659915475655,5.143386701416396e-06,1818274.7517037007,11061.486611028837,6930.6002283468915,4130.886382681945,
137,50000,0.08846603590704853,949.3079074559419,0.08384400825010145,2390408.652707135,45345.779887137476,5.170305024129887e-06,1825219.995983162,11084.237520375134,6953.460567804571,4130.7769525705635,
138,50000,0.08782465718517082,952.1768058627041,0.08443640193773061,2401504.372052783,45426.47628211937,5.197150920309911e-06,1832188.173134081,11107.242834006574,6976.572750622878,4130.670083383697,
139,50000,0.08719251953743117,955.0263067083316,0.08503220262408785,2412623.22021787,45506.75702204117,5.223925211141112e-06,1839179.5318687235,11130.493673568504,6999.927977722517,4130.565695845987,
140,50000,0.0865694244895781,957.8568441117301,0.08563137971608419,2423765.4382607294,45586.629794270026,5.250628702952481e-06,1846194.3120252888,11153.981093724484,7023.5173799871945,4130.463713737289,
141,50000,0.0859551792160742,960.6688493766662,0.08623389804255455,2434931.258265914,45666.10205815598,5.27726218757881e-06,1853232.7445055097,11177.696094224788,7047.332030472367,4130.364063752421,
142,50000,0.0853495963403519,963.462750575587,0.08683971800740684,2446120.903295166,45745.181051131316,5.303826442711107e-06,1860295.0512242,11201.629631622,7071.362956253714,4130.266675368285,
143,50000,0.08475249374349493,966.2389721555498,0.08744879575158976,2457334.587349927,45823.87379467687,5.330322232236444e-06,1867381.4450704127,11225.772630625586,7095.601149907583,4130.171480718003,
144,50000,0.08416369438093295,968.9979345665365,0.08806108332301744,2468572.515345018,45902.18710015812,5.3567503065675765e-06,1874492.129879821,11250.11599508878,7120.037580617123,4130.078414471656,
145,50000,0.08358302610676,971.7400539122993,0.08867652885357051,2479834.883093128,45980.12757453437,5.3831114029627375e-06,1881627.300417968,11274.650618622481,7144.663204899315,4129.987413723166,
146,50000,0.08301032150530921,974.4657416237663,0.08929507674227569,2491121.8772997125,46057.70162594309,5.409406245835929e-06,1888787.142373987,11299.367394832274,7169.468976949226,4129.898417883048,
147,50000,0.08244541772963598,977.1754041549282,0.08991666784375951,2502433.6755679552,46134.91546916251,5.435635547058056e-06,1895971.8323644297,11324.257227175929,7194.4458585993025,4129.811368576627,
148,50000,0.08188815634658106,979.8694427010295,0.09054123966107766,2513770.4464133894,46211.77513095438,5.4618000062492345e-06,1903181.5379468075,11349.311038439831,7219.584828892415,4129.726209547416,
149,50000,0.0813383831881022,982.5482529387941,0.0911687265420234,2525132.3492878,46288.286455289475,5.487900311062591e-06,1910416.4176424618,11374.51977983399,7244.8768932685925,4129.642886565398,
150,50000,0.08079594820858073,985.2122247883374,0.09179905987803579,2536519.534612045,46364.455108457856,5.513937137459831e-06,1917676.6209683926,11399.874439706178,7270.313092366309,4129.561347339869,
151,50000,0.0802607053478242,987.8617421963407,0.09243216830485163,2547932.143817385,46440.28658406607,5.539911149978849e-06,1924962.2884776425,11425.366051876721,7295.884510440067,4129.481541436654,
152,50000,0.07973251239950092,990.4971829400057,0.09306797790406594,2559370.30939497,46515.78620792301,5.565823001993723e-06,1932273.5518078767,11450.985703596345,7321.582283396962,4129.403420199383,
153,50000,0.07921123088475748,993.1189184512381,0.09370641240480077,2570834.154953092,46590.959142816755,5.5916733359672664e-06,1939610.5337377668,11476.724543130185,7347.397606455543,4129.326936674643,
154,50000,0.07869672593078143,995.7273136604751,0.09434739338471408,2582323.7952818326,46665.81039318393,5.617462783696449e-06,1946973.3482508108,11502.573786971887,7373.321741431126,4129.252045540761,
155,50000,0.07818886615408498,998.3227268595219,0.09499084046962505,2593839.3364247545,46740.34480967331,5.643191966550917e-06,1954362.100606218,11528.52472669236,7399.346023652261,4129.178703040099,
156,50000,0.077687523548297,1000.9055095827225,0.09563667153106276,2605380.875757248,46814.56709360585,5.668861495704832e-06,1961776.887416499,11554.56873542816,7425.461868513669,4129.106866914491,
157,50000,0.07719257337626098,1003.4760065057741,0.09628480288110294,2616948.5020711897,46888.4818013323,5.6944719723622606e-06,1969217.796731389,11580.697274015427,7451.660777671538,4129.036496343889,
158,50000,0.07670389406624718,1006.034555361465,0.09693514946389262,2628542.2956655696,46962.09334849047,5.720023987976338e-06,1976684.908127773,11606.901896775244,7477.934344887416,4128.9675518878275,
159,50000,0.07622136711209725,1008.5814868715923,0.09758762504331606,2640162.328442725,47035.40601416351,5.745518124462396e-06,1984178.2928052398,11633.174256957174,7504.274261527479,4128.899995429695,
160,50000,0.07574487697712805,1011.1171246943219,0.09824214238630027,2651808.6640098463,47108.423944941,5.770954954405265e-06,1991698.013686949,11659.506111847933,7530.672321724332,4128.833790123602,
